[debug] PhaseRunner.scala:82 Success [id => dc, phase => typescript] 
[info ] Phase1ReadTypescript.scala:160 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/DefinitelyTyped/types/dc/index.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/DefinitelyTyped/types/dc),TsIdentLibrarySimple(dc)),TsIdentModule(None,List(dc))) [id => dc, phase => typescript] 
[info ] InferredDefaultModule.scala:39 Inferred module TsIdentModule(None,List(dc)) [id => dc, phase => typescript] 
[info ] ExpandCallables.scala:51 Expanded stackLayout into 2 methods [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(StackMixin))] 
[info ] ExpandCallables.scala:51 Expanded cap into 2 methods [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(CapMixin))] 
[info ] ExpandCallables.scala:51 Expanded othersLabel into 2 methods [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(CapMixin))] 
[info ] ExpandCallables.scala:51 Expanded othersGrouper into 2 methods [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(CapMixin))] 
[info ] ExpandCallables.scala:51 Expanded r into 2 methods [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(BubbleMixin))] 
[info ] ExpandCallables.scala:51 Expanded radiusValueAccessor into 2 methods [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(BubbleMixin))] 
[info ] ExpandCallables.scala:51 Expanded minRadiusWithLabel into 2 methods [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(BubbleMixin))] 
[info ] ExpandCallables.scala:51 Expanded maxBubbleRelativeSize into 2 methods [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(BubbleMixin))] 
[info ] ExpandCallables.scala:51 Expanded slicesCap into 2 methods [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(PieChart))] 
[info ] ExpandCallables.scala:51 Expanded innerRadius into 2 methods [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(PieChart))] 
[info ] ExpandCallables.scala:51 Expanded radius into 2 methods [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(PieChart))] 
[info ] ExpandCallables.scala:51 Expanded cx into 2 methods [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(PieChart))] 
[info ] ExpandCallables.scala:51 Expanded cy into 2 methods [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(PieChart))] 
[info ] ExpandCallables.scala:51 Expanded minAngleForLabel into 2 methods [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(PieChart))] 
[info ] ExpandCallables.scala:51 Expanded centerBar into 2 methods [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(BarChart))] 
[info ] ExpandCallables.scala:51 Expanded barPadding into 2 methods [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(BarChart))] 
