[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_TagName) [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclClass(Project) / TsMemberProperty(deleteTag) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Before) [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclClass(Project) / TsMemberProperty(getCommits) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_BranchName) [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclClass(Project) / TsMemberProperty(makeCommit) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_BranchNameNewHash) [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclClass(Project) / TsMemberProperty(setBranchHash) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Start) [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclClass(Project) / TsMemberProperty(getHistory) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_TagNameCommitHash) [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclClass(Project) / TsMemberProperty(createTag) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_BranchNameCallback) [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclClass(Project) / TsMemberProperty(getBranchHash) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_BranchNameNewHashCallback) [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclClass(Project) / TsMemberProperty(createBranch) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_CallbackResultCallback) [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclClass(Project) / TsMemberProperty(getBranches) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_RootKey) [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclClass(Project) / TsMemberProperty(loadPaths) / TsTypeObject())] 
