[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(QueryHelpers) at TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(DocumentQuery) / TsMemberFunction(findOneAndUpdate) / TsFunSig() / TsTypeIntersect() / TsTypeRef()) [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(DocumentQuery) / TsMemberFunction(findOneAndUpdate) / TsFunSig() / TsTypeIntersect() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(QueryHelpers) at TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(DocumentQuery) / TsMemberFunction(findOneAndUpdate) / TsFunSig() / TsTypeIntersect() / TsTypeRef()) [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(DocumentQuery) / TsMemberFunction(findOneAndUpdate) / TsFunSig() / TsTypeIntersect() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(QueryHelpers) at TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(DocumentQuery) / TsMemberFunction(findOneAndUpdate) / TsFunSig() / TsTypeIntersect() / TsTypeRef()) [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(DocumentQuery) / TsMemberFunction(findOneAndUpdate) / TsFunSig() / TsTypeIntersect() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(QueryHelpers) at TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(DocumentQuery) / TsMemberFunction(findOneAndUpdate) / TsFunSig() / TsTypeIntersect() / TsTypeRef()) [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(DocumentQuery) / TsMemberFunction(findOneAndUpdate) / TsFunSig() / TsTypeIntersect() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(QueryHelpers) at TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(DocumentQuery) / TsMemberFunction(findOneAndUpdate) / TsFunSig() / TsTypeIntersect() / TsTypeRef()) [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(DocumentQuery) / TsMemberFunction(findOneAndUpdate) / TsFunSig() / TsTypeIntersect() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(QueryHelpers) at TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(DocumentQuery) / TsMemberFunction(toConstructor) / TsFunSig() / TsTypeConstructor() / TsTypeFunction() / TsFunSig() / TsTypeIntersect() / TsTypeRef()) [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(DocumentQuery) / TsMemberFunction(toConstructor) / TsFunSig() / TsTypeConstructor() / TsTypeFunction() / TsFunSig() / TsTypeIntersect() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(QueryHelpers) at TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(Model) / TsMemberFunction(findById) / TsFunSig() / TsTypeIntersect() / TsTypeRef()) [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(Model) / TsMemberFunction(findById) / TsFunSig() / TsTypeIntersect() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(QueryHelpers) at TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(Model) / TsMemberFunction(findById) / TsFunSig() / TsTypeIntersect() / TsTypeRef()) [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(Model) / TsMemberFunction(findById) / TsFunSig() / TsTypeIntersect() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(QueryHelpers) at TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(Model) / TsMemberFunction(findById) / TsFunSig() / TsTypeIntersect() / TsTypeRef()) [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(Model) / TsMemberFunction(findById) / TsFunSig() / TsTypeIntersect() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(QueryHelpers) at TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(Model) / TsMemberFunction(model) / TsFunSig() / TsTypeRef()) [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(Model) / TsMemberFunction(model) / TsFunSig() / TsTypeRef())] 
