[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(readFile) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclInterface(InputFileSystem))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(readFileSync) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclInterface(InputFileSystem))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(readlink) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclInterface(InputFileSystem))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(readlinkSync) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclInterface(InputFileSystem))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(stat) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclInterface(InputFileSystem))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(statSync) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclInterface(InputFileSystem))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(join) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclInterface(OutputFileSystem))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(mkdir) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclInterface(OutputFileSystem))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(mkdirp) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclInterface(OutputFileSystem))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(rmdir) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclInterface(OutputFileSystem))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(unlink) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclInterface(OutputFileSystem))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(writeFile) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclInterface(OutputFileSystem))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(sortWith) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclInterface(SortableSet))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(sort) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclInterface(SortableSet))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(getFromCache) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclInterface(SortableSet))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(getFromUnorderedCache) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclInterface(SortableSet))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(constructor) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclClass(Compiler))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(isChild) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclClass(Compiler))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(run) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclClass(Compiler))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(watch) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclClass(Compiler))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(constructor) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(Compiler) / TsDeclClass(Watching))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(close) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(Compiler) / TsDeclClass(Watching))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(invalidate) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(Compiler) / TsDeclClass(Watching))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(run) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclClass(MultiCompiler))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(watch) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclClass(MultiCompiler))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(close) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclClass(MultiWatching))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(invalidate) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclClass(MultiWatching))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(apply) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclClass(Plugin))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(apply) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclClass(ResolvePlugin))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(hasErrors) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclClass(Stats))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(hasWarnings) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclClass(Stats))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(toJson) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclClass(Stats))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(toString) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclClass(Stats))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(constructor) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclClass(BannerPlugin))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(constructor) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclClass(ContextReplacementPlugin))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(constructor) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclClass(DefinePlugin))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(constructor) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclClass(DllPlugin))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(constructor) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclClass(DllReferencePlugin))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(constructor) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclClass(EvalSourceMapDevToolPlugin))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(constructor) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclClass(ExtendedAPIPlugin))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(constructor) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclClass(HashedModuleIdsPlugin))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(constructor) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclClass(HotModuleReplacementPlugin))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(constructor) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclClass(IgnorePlugin))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(constructor) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclClass(LoaderOptionsPlugin))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(constructor) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclClass(NamedModulesPlugin))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(constructor) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclClass(NamedChunksPlugin))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(constructor) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclClass(NoEmitOnErrorsPlugin))] 
